---------------------------------------------------
Genre Codes/Names -- Generated 2020-06-13 00:47 UTC
---------------------------------------------------


   Code           Name

bluegrass      bluegrass
blues          blues
children       children
country        country
elvis          elvis
funny          funny
hit            hit
movie          movie
rock           rock
romantic       romantic
tv             tv


